Dates,Present Storage(TMC),Reservoir Level(TMC),Inflow,Outflow,MADIKERI,SOMWARPET,VIRAJPET,lower,result,upper,lowLabel,resultlabel,uplabel,level(ft)
2019-04-29,1.515,2805.125,115.5,45.0,0.0,0.0,0.0,73.21348490945071,94.74353835970544,113.49307728112713,0,0,0,2804.666685071803
2019-04-30,1.52,2805.16,116.0,45.0,0.0,0.0,0.0,69.89910183802571,94.74353835970544,112.11360147163096,0,0,0,2804.691612969928
2019-05-01,1.52,2805.17,86.0,45.0,0.0,0.0,0.0,73.21348490945071,94.74353835970544,112.11360147163096,0,0,0,2804.736855467494
2019-05-02,1.52,2805.18,90.0,45.0,0.0,0.0,0.0,45.70809876111073,74.66884931789468,74.38979199191682,0,0,0,2804.7436512395016
2019-05-03,1.52,2805.18,90.0,45.0,0.0,0.0,0.0,62.10047533001121,81.36577469802039,88.49658888557865,0,0,0,2804.7548480921096
2019-05-04,1.52,2805.18,90.0,45.0,0.0,0.0,0.0,62.10047533001121,81.36577469802039,87.11711307608245,0,0,0,2804.7536318590555
2019-05-05,1.52,2805.18,90.0,45.0,0.0,0.0,0.0,44.165875705055626,81.36577469802039,88.49658888557865,0,0,0,2804.7536318590555
2019-05-06,1.52,2805.185,91.0,45.0,0.0,0.0,0.0,44.165875705055626,81.36577469802039,88.49658888557865,0,0,0,2804.7536318590555
2019-05-07,1.52,2805.19,92.0,45.0,0.0,0.0,0.0,48.80772952674384,81.36577469802039,87.11711307608245,0,0,0,2804.7536308004846
2019-05-08,1.52,2805.25,114.0,45.0,0.0,0.0,0.0,62.10047533001121,81.36577469802039,88.49658888557865,0,0,0,2804.7533467751896
2019-05-09,1.53,2805.42,137.0,45.0,0.0,0.0,0.0,73.21348490945071,94.74353835970544,113.49307728112713,0,0,0,2804.755606481494
2019-05-10,1.54,2805.48,108.0,45.0,0.0,0.0,0.0,64.43266810398485,97.67133518540756,116.32684351489341,0,0,0,2804.8196370999876
2019-05-11,1.54,2805.5,96.0,45.0,0.0,0.0,0.0,64.04200384131063,86.83776884688544,86.63692793007901,0,0,0,2804.902280699823
2019-05-12,1.54,2805.51,87.0,45.0,0.0,0.0,0.0,62.10047533001121,86.83776884688544,88.49658888557865,0,0,0,2804.9327275559517
2019-05-13,1.54,2805.505,91.5,45.0,0.0,0.0,0.0,48.80772952674384,81.36577469802039,88.49658888557865,0,0,0,2804.935936649544
2019-05-14,1.54,2805.5,96.0,45.0,0.0,0.0,0.0,62.10047533001121,86.83776884688544,88.49658888557865,0,0,0,2804.9399557344764
2019-05-15,1.54,2805.54,92.0,45.0,0.0,0.0,0.0,62.10047533001121,86.83776884688544,87.11711307608245,0,0,0,2804.9383034430975
2019-05-16,1.54,2805.55,94.0,45.0,0.0,0.0,0.0,48.80772952674384,81.36577469802039,89.57112429035188,0,0,0,2804.935957205893
