Dates,Present Storage(TMC),Reservoir Level(TMC),Inflow,Outflow,MADIKERI,SOMWARPET,VIRAJPET,Label
2011-11-07,6.05,2850.59,1021,537,1.93785046728972,2.99859813084112,0.483644859813084,7
2011-11-08,6.07,2850.69,920,642,1.92897196261682,2.98411214953271,0.481308411214953,4
2011-11-09,6.02,2850.44,213,837,1.92009345794393,2.9696261682243,0.478971962616822,3
2011-11-10,5.94,2850.09,118,1000,1.91121495327103,2.95514018691589,0.476635514018692,1
2011-11-11,5.845,2849.665,86,1100,1.90233644859813,2.94065420560748,0.474299065420561,1
2011-11-12,5.75,2849.24,54,1200,1.89345794392523,2.92616822429907,0.47196261682243,0
2011-11-13,5.64,2848.74,25,1300,1.88457943925234,2.91168224299065,0.469626168224299,0
2011-11-14,5.52,2848.19,46,1300,1.87570093457944,2.89719626168224,0.467289719626168,0
2011-11-15,5.39,2847.64,46,1350,1.86682242990654,2.88271028037383,0.464953271028037,0
2011-11-16,5.26,2847.06,25,1350,1.85794392523365,2.86822429906542,0.462616822429907,0
2011-11-17,5.13,2846.46,23,1550,1.84906542056075,2.85373831775701,0.460280373831776,0
2011-11-18,4.995,2845.855,23,1450,1.84018691588785,2.8392523364486,0.457943925233645,0
2011-11-19,4.86,2845.25,23,1350,1.83130841121495,2.82476635514019,0.455607476635514,0
2011-11-20,4.7,2844.55,16,1550,1.82242990654206,2.81028037383178,0.453271028037383,0
2011-11-21,4.56,2843.8,11,1550,1.81355140186916,2.79579439252336,0.450934579439252,0
2011-11-22,4.48,2843.06,18,890,1.80467289719626,2.78130841121495,0.448598130841121,0
2011-11-23,4.41,2842.3,14,910,1.79579439252336,2.76682242990654,0.446261682242991,0
2011-11-24,4.33,2841.53,17,926,1.78691588785047,2.75233644859813,0.44392523364486,0
2011-11-25,4.245,2840.735,17,950,1.77803738317757,2.73785046728972,0.441588785046729,0
2011-11-26,4.16,2839.94,17,974,1.76915887850467,2.72336448598131,0.439252336448598,0
2011-11-27,4.08,2839.14,14,960,1.76028037383178,2.7088785046729,0.436915887850467,0
2011-11-28,3.99,2838.32,17,987,1.75140186915888,2.69439252336449,0.434579439252336,5
2011-11-29,3.84,2836.89,462,1300,1.74252336448598,2.67990654205607,0.432242990654206,5
2011-11-30,3.92,2837.6,450,1300,1.73364485981308,2.66542056074766,0.429906542056075,5
2011-12-01,3.77,2836.18,462,1300,1.72476635514019,2.65093457943925,0.427570093457944,5
2011-12-02,3.69,2835.42,431,1317.5,1.71588785046729,2.63644859813084,0.425233644859813,5
2011-12-03,3.61,2834.66,400,1335,1.70700934579439,2.62196261682243,0.422897196261682,5
2011-12-04,3.53,2833.82,399,1285,1.6981308411215,2.60747663551402,0.420560747663551,5
2011-12-05,3.43,2833.54,400,1285,1.6892523364486,2.59299065420561,0.418224299065421,5
2011-12-06,3.44,2832.04,400,900,1.6803738317757,2.5785046728972,0.41588785046729,5
2011-12-07,3.4,2831.1,399,946,1.6714953271028,2.56401869158879,0.413551401869159,5
2011-12-08,3.35,2830.15,397,950,1.66261682242991,2.54953271028037,0.411214953271028,5
2011-12-09,3.3,2829.18,391,950,1.65373831775701,2.53504672897196,0.408878504672897,5
2011-12-10,3.25,2828.21,385,950,1.64485981308411,2.52056074766355,0.406542056074766,5
2011-12-11,3.2,2827.32,382,900,1.63598130841122,2.50607476635514,0.404205607476636,5
2011-12-12,3.16,2826.44,388,900,1.62710280373832,2.49158878504673,0.401869158878505,5
2011-12-13,3.11,2825.58,384,885,1.61822429906542,2.47710280373832,0.399532710280374,5
2011-12-14,3.07,2824.72,384,885,1.60934579439252,2.46261682242991,0.397196261682243,5
2011-12-15,3.01,2823.71,379,1100,1.60046728971963,2.4481308411215,0.394859813084112,5
2011-12-16,2.9,2822.535,310,1300,1.59158878504673,2.43364485981308,0.392523364485981,4
2011-12-17,2.79,2821.36,241,1500,1.58271028037383,2.41915887850467,0.39018691588785,3
2011-12-18,2.68,2820.1,114,1425,1.57383177570093,2.40467289719626,0.38785046728972,3
2011-12-19,2.59,2819.1,111,1150,1.56495327102804,2.39018691588785,0.385514018691589,1
2011-12-20,2.5,2818.09,100,1150,1.55607476635514,2.37570093457944,0.383177570093458,1
2011-12-21,2.4,2817,96,1230,1.54719626168224,2.36121495327103,0.380841121495327,0
2011-12-22,4.48,2843.06,18,890,1.53831775700935,2.34672897196262,0.378504672897196,0
2011-12-23,3.31,2828.59,40.5,845,1.52943925233645,2.33224299065421,0.376168224299065,1
2011-12-24,2.14,2814.12,63,800,1.52056074766355,2.31775700934579,0.373831775700935,1
2011-12-25,2.09,2813.49,72,600,1.51168224299065,2.30327102803738,0.371495327102804,1
2011-12-26,2.05,2812.82,69,475,1.50280373831776,2.28878504672897,0.369158878504673,1
2011-12-27,2,2812.16,77,590,1.49392523364486,2.27429906542056,0.366822429906542,1
2011-12-28,1.96,2811.52,68,575,1.48504672897196,2.25981308411215,0.364485981308411,1
2011-12-29,1.91,2810.85,69,600,1.47616822429907,2.24532710280374,0.36214953271028,3
2011-12-30,1.82,2810.18,142,4504,1.46728971962617,2.23084112149533,0.359813084112149,3
2011-12-31,1.81967532467532,2810.17233766234,141.155844155844,4478.38961038961,1.45841121495327,2.21635514018692,0.357476635514019,3
2012-01-01,1.81935064935065,2810.16467532468,140.311688311688,4452.77922077922,1.44953271028037,2.2018691588785,0.355140186915888,3
2012-01-02,1.81902597402597,2810.15701298701,139.467532467532,4427.16883116883,1.44065420560748,2.18738317757009,0.352803738317757,3
2012-01-03,1.8187012987013,2810.14935064935,138.623376623377,4401.55844155844,1.43177570093458,2.17289719626168,0.350467289719626,3
2012-01-04,1.81837662337662,2810.14168831169,137.779220779221,4375.94805194805,1.42289719626168,2.15841121495327,0.348130841121495,3
2012-01-05,1.81805194805195,2810.13402597403,136.935064935065,4350.33766233766,1.41401869158879,2.14392523364486,0.345794392523364,3
