,tar,out
894,379.0,362.4622
895,464.0,596.61237
896,2362.0,651.1191
897,2399.0,755.6528
898,2654.0,1363.8656
899,2556.0,5979.1616
900,2446.5,7005.664
901,2337.0,6944.5522
902,1811.0,5255.565
903,3904.9998,3337.4958
904,1809.0,2486.0823
905,1292.0,7068.9175
906,1184.0,3603.405
907,951.0,348.31268
908,718.0,1017.0384
909,670.00006,1003.35944
910,694.0,760.9712
911,682.0,622.77576
912,658.0,687.594
913,610.0,561.60596
914,888.00006,431.26447
915,1166.0,426.36426
916,1805.0,468.39294
917,5262.0005,1328.9799
918,5133.0,1293.1306
919,4000.0,1085.0138
920,2867.0,2086.317
921,2648.0,2956.7637
922,2429.0,2875.0315
923,2660.9998,2291.914
924,7082.0,2008.2306
925,10253.0,1755.3187
926,9253.0,2058.224
927,5281.0005,4225.603
928,4790.5,5855.097
929,4300.0,7566.376
930,2684.0,5701.718
931,1167.0,3941.6292
932,2486.0,3245.1838
933,2234.0,2715.469
934,2338.0,1667.0437
935,1750.0,1741.7922
936,1162.0,1596.5552
937,998.0,1781.9503
938,1618.0,1327.638
939,1652.0,1020.2901
940,1276.0001,866.7851
941,1942.0,940.5901
942,2192.5,1162.3269
943,2443.0,979.417
944,4369.0,1214.1971
945,5813.0,1367.682
946,3392.0,1994.0647
947,2497.0,2986.6003
948,2745.0,3582.478
949,4043.5,2970.5762
950,5341.9995,2699.3528
951,3448.0,2081.375
952,5663.0,2415.7222
953,4586.0,3239.1235
954,3228.9998,3104.0435
955,2542.0,2979.2844
956,2547.5,2899.9587
957,2552.9998,2644.3777
958,2075.0,2682.3894
959,1287.0,2573.053
960,1200.0,1822.0009
961,1382.0,1503.4037
962,750.0,1859.5795
963,776.0,1763.1854
964,802.0,1075.0552
965,2100.0,703.9775
966,612.0,624.4507
967,2250.0,600.9298
968,2125.0,960.8181
969,2476.0,756.9149
970,2216.0,1106.4915
971,1956.0,1195.1279
972,951.0,1451.3344
973,1197.0,1442.939
974,1455.0,1516.8273
975,2639.0,1092.3699
976,2217.0,907.51263
977,2719.4998,1495.0328
978,3222.0,1756.1836
979,1194.0,2549.0645
980,1066.0,1754.8499
981,916.0,1627.9467
982,1052.0,1882.9231
983,802.0,1231.6627
984,920.5,721.59515
985,1039.0,722.145
986,1039.0,706.40326
987,885.0,945.27826
988,2493.9998,748.0149
989,686.0,602.9069
990,383.99997,794.8882
991,570.0,1240.0623
992,756.0,1024.1838
993,537.0,761.5525
994,3505.0,416.83896
995,1400.0,512.9864
996,1500.0,1278.439
997,1114.0,1353.3508
998,925.5,1139.115
999,737.0,2377.292
1000,1080.0,1453.5315
1001,1538.0,1607.6606
1002,1676.0,766.98035
1003,1887.0,816.08453
1004,1995.0,951.7444
1005,1881.0,1246.007
1006,1767.0,1562.9255
1007,1312.0,1965.5999
1008,1574.0,1474.245
1009,1663.0001,1367.0701
1010,1710.0,1340.9594
1011,1773.0,1107.588
1012,1646.5,1038.6194
1013,1520.0,1324.9667
1014,1514.0,1148.4841
1015,1371.0,1050.7305
1016,1466.0,1032.9292
1017,1434.0,998.81573
1018,1231.0,1006.24585
1019,1241.0,977.52795
1020,1251.0,940.9623
1021,1233.0,896.7149
1022,1245.0,840.4957
1023,923.0,833.35156
1024,707.0,819.0436
1025,492.0,824.9783
1026,450.0,755.87683
1027,408.0,646.8127
1028,606.0,506.25012
1029,494.0,573.8748
1030,531.0,1082.6743
1031,692.00006,529.3908
1032,218.0,471.5142
1033,138.5,594.88464
1034,59.0,611.27014
1035,151.0,539.8831
1036,88.0,452.89078
1037,493.00003,339.01968
1038,357.00003,330.65366
1039,557.0,320.94193
1040,507.0,416.70374
1041,457.0,455.6595
1042,80.0,541.7836
1043,140.0,547.24554
1044,232.0,558.67084
1045,266.0,452.94113
1046,145.0,382.49152
1047,102.0,352.44135
1048,59.0,388.3118
1049,195.0,382.19238
1050,240.99998,353.34055
1051,452.0,314.286
1052,214.00002,329.42584
1053,254.0,359.66168
1054,228.5,439.68954
1055,203.00002,434.35828
1056,306.0,430.6692
1057,144.0,392.7534
1058,174.0,388.02634
1059,224.0,401.95654
1060,273.0,380.61786
1061,260.0,371.8506
1062,247.0,361.97232
1063,268.0,387.7836
1064,284.0,402.46103
1065,296.0,404.58218
1066,298.0,404.20956
1067,310.0,409.47375
1068,202.0,418.46588
1069,94.0,423.52634
1070,94.0,428.21942
1071,269.0,405.68173
1072,272.0,360.88013
1073,284.0,320.97482
1074,281.0,342.76306
1075,285.0,377.88068
1076,289.0,409.79657
1077,280.0,411.52594
1078,277.0,413.3613
1079,280.0,414.10138
1080,283.0,413.01663
1081,101.0,410.71603
1082,125.0,408.8303
1083,149.0,409.1317
1084,163.0,368.01968
1085,155.0,337.3136
1086,155.0,316.97913
1087,163.0,328.4478
1088,122.0,332.88367
1089,130.0,333.11862
1090,108.5,333.13437
1091,87.0,324.84442
1092,125.0,319.35358
1093,104.0,308.74915
1094,99.99999,300.38297
1095,92.00001,300.75238
1096,92.00001,299.44135
1097,92.00001,300.12756
1098,92.00001,293.52945
1099,95.99999,290.77206
1100,92.00001,288.94025
1101,80.0,288.42612
1102,76.0,288.82385
1103,80.0,288.1842
1104,78.5,284.78848
1105,77.00001,280.31284
1106,72.0,277.93
1107,62.0,277.19345
1108,70.0,276.68304
1109,71.0,274.4649
1110,63.000004,270.41092
1111,77.5,268.89584
1112,92.00001,268.52255
1113,92.00001,267.67133
1114,84.0,269.0153
1115,88.0,273.32816
1116,84.0,278.0332
1117,80.0,278.0412
1118,73.5,276.81467
1119,67.0,274.8202
1120,80.0,273.21466
1121,64.0,269.72253
1122,68.0,265.73468
1123,52.0,265.77637
1124,57.0,263.06412
1125,65.5,262.3777
1126,74.0,256.32382
1127,41.0,254.38332
1128,62.0,254.1009
1129,54.0,257.95364
1130,58.0,252.93384
1131,58.0,252.0081
1132,56.0,248.33151
1133,54.0,250.51709
1134,49.999996,249.4016
1135,67.0,249.00772
1136,60.0,247.56104
1137,66.0,245.33005
1138,49.0,247.47554
1139,49.0,247.9749
1140,49.0,250.13535
1141,49.0,245.69858
1142,43.0,242.71976
1143,49.0,239.323
1144,37.0,238.70633
1145,49.999996,236.72525
1146,52.5,236.28499
1147,55.0,233.1372
1148,27.0,234.08144
1149,32.0,234.61577
1150,41.0,237.16844
1151,49.999996,231.08302
1152,49.999996,226.48419
1153,16.0,224.29674
1154,15.0,228.28308
1155,15.0,230.87845
1156,15.0,223.99515
1157,15.0,216.4419
1158,15.0,210.04836
1159,17.0,209.23485
1160,17.0,208.58224
1161,17.0,207.92703
1162,17.0,207.72229
1163,17.0,207.45457
1164,17.0,207.11797
1165,11.0,206.45276
1166,11.0,205.78508
1167,11.0,205.11493
1168,14.0,203.08484
1169,17.0,201.23386
1170,11.999999,199.57996
1171,11.999999,199.57904
1172,18.0,200.16328
1173,11.999999,199.42407
1174,11.999999,198.24579
1175,11.999999,198.0992
1176,11.999999,197.22603
1177,11.999999,196.33258
1178,11.999999,194.66046
1179,18.0,193.96136
1180,11.999999,193.25978
1181,11.999999,192.55586
1182,11.999999,193.20412
1183,11.999999,192.31377
1184,13.0,191.40332
1185,13.0,189.71532
1186,13.0,188.99905
1187,13.0,188.50607
1188,13.0,187.98021
1189,13.0,187.41878
1190,13.0,186.69267
1191,13.0,185.96416
1192,13.0,185.23303
